date,open,high,low,close,volume,申万一级,债券代码,债券简称,symbol
2022-05-24,116.8,119.0,115.67,117.06,1584340,纺织服饰,113638,台21转债,sh113638
2022-05-25,117.64,118.92,116.38,117.08,303390,纺织服饰,113638,台21转债,sh113638
2022-05-26,116.84,117.8,116.07,117.03,165650,纺织服饰,113638,台21转债,sh113638
2022-05-27,116.99,118.0,116.97,117.18,138660,纺织服饰,113638,台21转债,sh113638
2022-05-30,117.0,117.49,115.24,116.33,59360,纺织服饰,113638,台21转债,sh113638
2022-05-31,116.72,118.89,115.51,118.41,93840,纺织服饰,113638,台21转债,sh113638
2022-06-01,117.78,123.0,117.78,118.81,361150,纺织服饰,113638,台21转债,sh113638
2022-06-02,118.25,121.9,117.81,119.7,610900,纺织服饰,113638,台21转债,sh113638
2022-06-06,119.48,122.11,119.48,120.98,405600,纺织服饰,113638,台21转债,sh113638
2022-06-07,120.99,122.3,120.01,120.24,106970,纺织服饰,113638,台21转债,sh113638
2022-06-08,119.99,126.49,117.51,119.83,317520,纺织服饰,113638,台21转债,sh113638
2022-06-09,119.5,122.42,119.06,120.78,267790,纺织服饰,113638,台21转债,sh113638
2022-06-10,120.31,121.98,119.68,120.68,196190,纺织服饰,113638,台21转债,sh113638
2022-06-13,120.67,123.0,120.0,121.49,127190,纺织服饰,113638,台21转债,sh113638
2022-06-14,121.03,123.28,119.67,121.41,718590,纺织服饰,113638,台21转债,sh113638
2022-06-15,121.2,122.5,120.5,121.09,236060,纺织服饰,113638,台21转债,sh113638
2022-06-16,121.3,121.74,119.25,120.32,160590,纺织服饰,113638,台21转债,sh113638
2022-06-17,120.07,121.0,119.67,120.01,85920,纺织服饰,113638,台21转债,sh113638
2022-06-20,119.71,119.76,116.2,117.02,363800,纺织服饰,113638,台21转债,sh113638
2022-06-21,117.3,119.44,116.81,118.69,335640,纺织服饰,113638,台21转债,sh113638
2022-06-22,119.0,119.38,118.0,118.58,112170,纺织服饰,113638,台21转债,sh113638
2022-06-23,118.53,120.13,118.3,119.63,112420,纺织服饰,113638,台21转债,sh113638
2022-06-24,120.3,120.68,119.35,119.98,43730,纺织服饰,113638,台21转债,sh113638
2022-06-27,121.0,122.98,119.91,120.78,182100,纺织服饰,113638,台21转债,sh113638
2022-06-28,121.0,121.0,120.21,120.65,31390,纺织服饰,113638,台21转债,sh113638
2022-06-29,121.1,121.3,118.8,120.08,152140,纺织服饰,113638,台21转债,sh113638
2022-06-30,120.1,120.3,119.18,119.99,47170,纺织服饰,113638,台21转债,sh113638
2022-07-01,120.3,122.14,119.74,121.17,105890,纺织服饰,113638,台21转债,sh113638
2022-07-04,121.55,121.73,120.5,121.39,49100,纺织服饰,113638,台21转债,sh113638
2022-07-05,122.0,123.3,121.0,122.76,85020,纺织服饰,113638,台21转债,sh113638
2022-07-06,122.1,123.5,122.09,122.53,46180,纺织服饰,113638,台21转债,sh113638
2022-07-07,122.9,124.8,122.09,123.74,110220,纺织服饰,113638,台21转债,sh113638
2022-07-08,123.73,124.17,122.56,123.3,40660,纺织服饰,113638,台21转债,sh113638
2022-07-11,124.22,124.22,118.38,121.35,174160,纺织服饰,113638,台21转债,sh113638
2022-07-12,121.11,121.33,118.6,120.25,65090,纺织服饰,113638,台21转债,sh113638
2022-07-13,120.6,120.6,119.51,119.92,26760,纺织服饰,113638,台21转债,sh113638
